,Dates,Year,symbol,gics_sector_name,PX_LAST,DATE_OF_LAST_EXECUTIVE_CHANGE,TOT_STK_AWD_GIVEN_TO_CEO_EQUIV,TOT_OPT_AWD_GIVEN_TO_CEO_EQUIV,TOT_BONUSES_PAID_TO_CEO_EQUIV,TOT_N_EQT_INCENT_GVN_TO_CEO_EQ,COMP_LKD_LAST_CEO_&_EQUIV_CHG_DT,ALL_OTHER_COMP_AW_TO_CEO_EQUIV
2,2014-04-11,2014,AMZN,Consumer Discretionary,15.587,2006-04-30,0.0,0,0,0,1996-05-01,1600000.0
33,2014-04-18,2014,AMZN,Consumer Discretionary,16.246,2006-04-30,0.0,0,0,0,1996-05-01,1600000.0
64,2014-04-25,2014,AMZN,Consumer Discretionary,15.192,2006-04-30,0.0,0,0,0,1996-05-01,1600000.0
95,2014-05-02,2014,AMZN,Consumer Discretionary,15.401,2006-04-30,0.0,0,0,0,1996-05-01,1600000.0
126,2014-05-09,2014,AMZN,Consumer Discretionary,14.612,2006-04-30,0.0,0,0,0,1996-05-01,1600000.0
157,2014-05-16,2014,AMZN,Consumer Discretionary,14.885,2006-04-30,0.0,0,0,0,1996-05-01,1600000.0
188,2014-05-23,2014,AMZN,Consumer Discretionary,15.612,2006-04-30,0.0,0,0,0,1996-05-01,1600000.0
219,2014-05-30,2014,AMZN,Consumer Discretionary,15.628,2006-04-30,0.0,0,0,0,1996-05-01,1600000.0
250,2014-06-06,2014,AMZN,Consumer Discretionary,16.484,2006-04-30,0.0,0,0,0,1996-05-01,1600000.0
281,2014-06-13,2014,AMZN,Consumer Discretionary,16.313,2006-04-30,0.0,0,0,0,1996-05-01,1600000.0
312,2014-06-20,2014,AMZN,Consumer Discretionary,16.21,2006-04-30,0.0,0,0,0,1996-05-01,1600000.0
343,2014-06-27,2014,AMZN,Consumer Discretionary,16.229,2006-04-30,0.0,0,0,0,1996-05-01,1600000.0
374,2014-07-04,2014,AMZN,Consumer Discretionary,16.875,2006-04-30,0.0,0,0,0,1996-05-01,1600000.0
405,2014-07-11,2014,AMZN,Consumer Discretionary,17.31,2006-04-30,0.0,0,0,0,1996-05-01,1600000.0
436,2014-07-18,2014,AMZN,Consumer Discretionary,17.933,2006-04-30,0.0,0,0,0,1996-05-01,1600000.0
467,2014-07-25,2014,AMZN,Consumer Discretionary,16.2,2006-04-30,0.0,0,0,0,1996-05-01,1600000.0
498,2014-08-01,2014,AMZN,Consumer Discretionary,15.353,2006-04-30,0.0,0,0,0,1996-05-01,1600000.0
529,2014-08-08,2014,AMZN,Consumer Discretionary,15.84,2006-04-30,0.0,0,0,0,1996-05-01,1600000.0
560,2014-08-15,2014,AMZN,Consumer Discretionary,16.682,2006-04-30,0.0,0,0,0,1996-05-01,1600000.0
