Date,symbol,DATE_OF_LAST_EXECUTIVE_CHANGE,TOT_STK_AWD_GIVEN_TO_CEO_EQUIV,TOT_OPT_AWD_GIVEN_TO_CEO_EQUIV,TOT_BONUSES_PAID_TO_CEO_EQUIV,TOT_N_EQT_INCENT_GVN_TO_CEO_EQ,COMP_LKD_LAST_CEO_&_EQUIV_CHG_D,ALL_OTHER_COMP_AW_TO_CEO_EQUIV
2023-12-31,LYB UN Equity,20221001,8978151,2664298,0,2946400.0,20220523,12162294.0
2022-12-31,LYB UN Equity,20221001,13258546,3217423,1900000,4787973.0,20220523,17298729.0
2021-12-31,LYB UN Equity,20211231,9793762,3309208,0,4082400.0,20211231,13353633.0
2020-12-31,LYB UN Equity,20200801,8859438,2953132,0,1663200.0,20150112,12271736.0
2019-12-31,LYB UN Equity,20191105,9234533,3078125,0,1600000.0,20150112,12768313.0
2018-12-31,LYB UN Equity,20180725,8859526,2953136,0,4536001.0,20150112,12097238.0
2017-12-31,LYB UN Equity,20170301,8437663,2812521,0,4435200.0,20150112,11656576.0
2016-12-31,LYB UN Equity,20160101,6093970,2031323,0,2974125.0,20150112,8301604.0
2015-12-31,LYB UN Equity,20150601,12356319,6518771,0,4026937.0,20150112,20040667.0
2014-12-31,LYB UN Equity,20140929,5208889,3146335,0,3190685.0,20090514,8408266.0
2023-12-31,AXP UN Equity,20230814,19287280,4449964,9750000,0.0,20180201,24426905.0
2022-12-31,AXP UN Equity,20220126,16834744,18799985,10312500,0.0,20180201,36217131.0
2021-12-31,AXP UN Equity,20211215,12549027,2899974,8000000,0.0,20180201,16013922.0
2020-12-31,AXP UN Equity,20180731,13016122,2899986,3960000,2322000.0,20180201,16439319.0
2019-12-31,AXP UN Equity,20180731,10318663,2439992,7000000,1875000.0,20180201,13421002.0
2018-12-31,AXP UN Equity,20180901,18329804,1499996,6402083,8215000.0,20180201,25278853.0
2017-12-31,AXP UN Equity,20150701,12209937,3200989,0,0.0,20010101,16572911.0
2016-12-31,AXP UN Equity,20150701,12809527,1573150,0,0.0,20010101,15463639.0
2015-12-31,AXP UN Equity,20150701,16339045,2563088,0,0.0,20010101,19988091.0
2014-12-31,AXP UN Equity,20130831,12429114,2535762,4500000,0.0,20010101,16296083.0
2023-12-31,VZ UN Equity,20230501,18000042,0,0,4087500.0,20180801,18541817.0
2022-12-31,VZ UN Equity,20221231,14500057,0,0,3262500.0,20180801,15070250.0
2021-12-31,VZ UN Equity,20210901,14500057,0,0,3825000.0,20180801,15017871.0
2020-12-31,VZ UN Equity,20190101,13300074,0,0,3637500.0,20180801,13960082.0
2019-12-31,VZ UN Equity,20190101,12000076,0,0,4125000.0,20180801,12470355.0
2018-12-31,VZ UN Equity,20181231,28600132,0,1000000,7112250.0,20180801,29834780.0
2017-12-31,VZ UN Equity,20171231,12000062,0,0,3720000.0,20110801,12617581.0
2016-12-31,VZ UN Equity,20161101,12000077,0,0,3200000.0,20110801,12874579.0
2015-12-31,VZ UN Equity,20151231,12000065,0,0,4000000.0,20110801,12682122.0
2014-12-31,VZ UN Equity,20140417,12000052,0,0,3800000.0,20110801,12925740.0
2023-12-31,BA UN Equity,20231231,30231750,0,0,0.0,20200113,31370519.0
2022-12-31,BA UN Equity,20221231,8500000,8500000,0,3418800.0,20200113,17661596.0
2021-12-31,BA UN Equity,20210827,8000000,8000000,0,3381840.0,20200113,16311765.0
2020-12-31,BA UN Equity,20200928,23080951,0,0,888720.0,20200113,23987879.0
2019-12-31,BA UN Equity,20191231,9676799,0,0,0.0,20191223,15623306.0
2018-12-31,BA UN Equity,20160718,7330916,0,0,13076350.0,20150701,8615837.0
2017-12-31,BA UN Equity,20171231,5775049,0,0,8450270.0,20150701,8309377.0
2016-12-31,BA UN Equity,20161121,5200019,0,0,6431450.0,20150701,6993878.0
2015-12-31,BA UN Equity,20150701,11377508,0,0,15906869.0,20150701,14162179.0
2014-12-31,BA UN Equity,20131231,6272517,0,0,14475000.0,20050701,12382689.0
2023-12-31,CAT UN Equity,20231231,8499949,8500034,0,5733900.0,20170101,18343932.0
2022-12-31,CAT UN Equity,20210101,6749957,6749994,0,4614800.0,20170101,14305300.0
2021-12-31,CAT UN Equity,20210101,8749964,8750028,0,4792980.0,20170101,17867552.0
2020-12-31,CAT UN Equity,20201231,5899969,5900000,0,0.0,20170101,12076551.0
2019-12-31,CAT UN Equity,20190301,5450022,6704943,0,2336000.0,20170101,30608129.0
2018-12-31,CAT UN Equity,20181213,6499973,8448354,0,4742000.0,20170101,21122513.0
2017-12-31,CAT UN Equity,20170101,3288528,5361394,1070000,2430000.0,20170101,9335209.0
2016-12-31,CAT UN Equity,20161231,3577816,7218819,0,2891179.0,20161231,10981327.0
2015-12-31,CAT UN Equity,20150101,3031479,9959588,0,822804.0,20100701,15481025.0
2014-12-31,CAT UN Equity,20130101,0,8377481,0,4913288.0,20100701,10618152.0
2023-12-31,CVX UN Equity,20221001,13669951,4252096,0,2610000.0,20180201,22061106.0
2022-12-31,CVX UN Equity,20221001,12909537,4000488,0,4500000.0,20180201,17384342.0
2021-12-31,CVX UN Equity,20190401,12233699,3874962,0,4500000.0,20180201,16460285.0
2020-12-31,CVX UN Equity,20190401,11248191,3875300,0,0.0,20180201,27381269.0
2019-12-31,CVX UN Equity,20190401,11663631,3750127,0,2280000.0,20180201,29219829.0
2018-12-31,CVX UN Equity,20180201,10102641,3312399,0,3600000.0,20180201,16562175.0
2017-12-31,CVX UN Equity,20150616,12140826,3830000,0,3750000.0,20100101,19168068.0
2016-12-31,CVX UN Equity,20150616,5397824,9194544,0,2096400.0,20100101,20697591.0
2015-12-31,CVX UN Equity,20151231,5484480,9195180,0,2450000.0,20100101,17730408.0
2014-12-31,CVX UN Equity,20100101,4816500,8586240,0,3100000.0,20100101,21044917.0
2023-12-31,KO UN Equity,20230101,8299550,7217020,0,6080000.0,20170501,17062908.0
2022-12-31,KO UN Equity,20221231,8517245,5616094,0,6080000.0,20170501,15142519.0
2021-12-31,KO UN Equity,20210421,13672020,2800715,0,6400000.0,20170501,16883878.0
2020-12-31,KO UN Equity,20200901,11442461,3148632,960000,0.0,20170501,15823474.0
2019-12-31,KO UN Equity,20190316,8231110,2603810,0,5152000.0,20170501,11974149.0
2018-12-31,KO UN Equity,20181231,7434329,2208151,0,5040000.0,20181231,10211328.0
2017-12-31,KO UN Equity,20171231,11583338,3265312,0,4168493.0,20170501,18829009.0
2016-12-31,KO UN Equity,20150813,7552779,1983748,0,4100000.0,20080701,11851944.0
2015-12-31,KO UN Equity,20150813,4904848,2830597,0,4600000.0,20080701,8390571.0
2014-12-31,KO UN Equity,20140424,6489441,9314144,0,0.0,20080701,23624422.0
2023-12-31,EXR UN Equity,20201231,9059042,0,0,1393875.0,20170101,9986826.0
2022-12-31,EXR UN Equity,20201231,8024201,0,0,1890000.0,20170101,8838744.0
2021-12-31,EXR UN Equity,20200630,4278669,0,0,1434375.0,20170101,5031607.0
2020-12-31,EXR UN Equity,20200630,4216825,0,0,1319625.0,20170101,4612587.0
2019-12-31,EXR UN Equity,20170101,3965507,0,0,1057188.0,20170101,4377787.0
2018-12-31,EXR UN Equity,20170101,2581747,0,0,895313.0,20170101,2785013.0
2017-12-31,EXR UN Equity,20170101,2407523,0,0,1050000.0,20170101,2620896.0
2016-12-31,EXR UN Equity,20161231,1275232,228417,0,821250.0,20161231,1600286.0
2015-12-31,EXR UN Equity,20151231,1275174,224837,0,926250.0,20090401,1556547.0
2014-12-31,EXR UN Equity,20140531,0,0,0,1267403.0,20090401,11129.0
2023-12-31,PSX UN Equity,20220701,9620568,3000816,0,4036181.0,20220701,13789748.0
2022-12-31,PSX UN Equity,20220701,19085627,4477106,0,6389462.0,20220701,25477154.0
2021-12-31,PSX UN Equity,20210401,11318245,3140920,0,4154020.0,20111031,15124178.0
2020-12-31,PSX UN Equity,20170930,9237623,3351180,0,3082015.0,20111031,20232351.0
2019-12-31,PSX UN Equity,20170930,10806257,3141546,0,5226025.0,20111031,24999845.0
2018-12-31,PSX UN Equity,20170930,9353917,3041430,0,4958024.0,20111031,12645303.0
2017-12-31,PSX UN Equity,20171231,8785668,2951040,0,3733354.0,20111031,18250866.0
2016-12-31,PSX UN Equity,20161031,8677840,2861166,0,3751013.0,20111031,19687465.0
2015-12-31,PSX UN Equity,20151231,8290120,2763828,0,4585525.0,20111031,16796450.0
2014-12-31,PSX UN Equity,20140601,8732652,2393385,0,2658351.0,20111031,20339655.0
2023-12-31,GE UN Equity,20231024,4999987,0,0,5625000.0,20181001,6573285.0
2022-12-31,GE UN Equity,20220103,5000021,0,0,525000.0,20181001,5173024.0
2021-12-31,GE UN Equity,20211231,14999996,0,4200000,0.0,20181001,15963449.0
2020-12-31,GE UN Equity,20200901,72054874,0,0,0.0,20181001,72538623.0
2019-12-31,GE UN Equity,20190225,15465000,0,5600000,0.0,20181001,16453788.0
2018-12-31,GE UN Equity,20181001,27540104,0,937500,0.0,20181001,28979617.0
2017-12-31,GE UN Equity,20171231,0,2076000,0,0.0,20170801,12509976.0
2016-12-31,GE UN Equity,20161231,4673098,2142000,4320000,1624000.0,20010907,11580524.0
2015-12-31,GE UN Equity,20151231,6238766,2964000,5400000,7614000.0,20010907,16159947.0
2014-12-31,GE UN Equity,20130701,3676157,2565000,5400000,2484000.0,20010907,25616774.0
2023-12-31,HPQ UN Equity,20221007,10148835,5714757,0,1989000.0,20191101,16169431.0
2022-12-31,HPQ UN Equity,20221007,12844359,5341057,0,1445564.0,20191101,18384362.0
2021-12-31,HPQ UN Equity,20200301,10558022,4107368,0,4440000.0,20191101,15093806.0
2020-12-31,HPQ UN Equity,20201001,7976875,0,0,3261085.0,20191101,8118730.0
2019-12-31,HPQ UN Equity,20191031,14531293,0,0,3233533.0,20191031,14634439.0
2018-12-31,HPQ UN Equity,20180701,12737004,0,0,4984348.0,20151101,12831186.0
2017-12-31,HPQ UN Equity,20151102,9841200,0,0,3511560.0,20151101,9918432.0
2016-12-31,HPQ UN Equity,20151102,18164053,6889397,0,2302585.0,20151101,25193636.0
2015-12-31,HPQ UN Equity,20151031,7771200,5113585,0,2453262.0,20151031,13182226.0
2014-12-31,HPQ UN Equity,20140731,8147637,5355075,0,4314000.0,20110922,13798106.0
2023-12-31,HD UN Equity,20220425,12085527,5689890,0,3811116.0,20220301,17910592.0
2022-12-31,HD UN Equity,20201005,5839484,1459998,0,4388180.0,20141101,7371571.0
2021-12-31,HD UN Equity,20201005,5931394,1459992,0,5200000.0,20141101,7495092.0
2020-12-31,HD UN Equity,20190901,5961431,1459996,0,2070472.0,20141101,7519361.0
2019-12-31,HD UN Equity,20150202,6058925,1459983,0,2446686.0,20141101,7594976.0
2018-12-31,HD UN Equity,20150202,5955804,1459987,0,2843328.0,20141101,7497684.0
2017-12-31,HD UN Equity,20160201,4866582,2433320,0,2759445.0,20141101,7412156.0
2016-12-31,HD UN Equity,20150202,4758790,2333316,0,3033014.0,20141101,7229426.0
2015-12-31,HD UN Equity,20141101,7217496,7024984,0,3659605.0,20141101,14392989.0
2014-12-31,HD UN Equity,20080908,4865877,2374991,0,2618076.0,20070102,7363705.0
2023-12-31,IBM UN Equity,20230109,11483809,3339560,0,3510000.0,20200406,15388426.0
2022-12-31,IBM UN Equity,20210731,8927701,2033636,0,3480000.0,20200406,11600075.0
2021-12-31,IBM UN Equity,20210731,12605507,0,0,2940000.0,20200406,13110959.0
2020-12-31,IBM UN Equity,20201231,25887466,0,0,6431000.0,20201231,28688684.0
2019-12-31,IBM UN Equity,20190227,11610046,0,0,5000000.0,20120101,13560865.0
2018-12-31,IBM UN Equity,20180111,10801392,0,0,4050000.0,20120101,11902218.0
2017-12-31,IBM UN Equity,20171231,10428720,0,0,5100000.0,20120101,11895350.0
2016-12-31,IBM UN Equity,20151231,12822238,12094414,0,4950000.0,20120101,26145699.0
2015-12-31,IBM UN Equity,20140101,12905329,0,0,4500000.0,20120101,13771950.0
2014-12-31,IBM UN Equity,20140401,12460409,0,0,3600000.0,20120101,14245125.0
2023-12-31,LULU UW Equity,20210101,4999844,4999968,0,4375000.0,20180820,10038837.0
2022-12-31,LULU UW Equity,20210101,4000112,4000028,0,4000000.0,20180820,8015455.0
2021-12-31,LULU UW Equity,20201030,2999912,3000024,0,1875000.0,20180820,7532414.0
2020-12-31,LULU UW Equity,20200110,2999971,2995896,0,3750000.0,20180820,6289944.0
2019-12-31,LULU UW Equity,20180918,10999885,3003247,600000,1698113.0,20180820,18435991.0
2018-12-31,LULU UW Equity,20171231,2000003,2002978,0,0.0,20140120,4002981.0
2017-12-31,LULU UW Equity,20151021,1895981,1897736,0,1549309.0,20140120,3985195.0
2016-12-31,LULU UW Equity,20151021,2099973,900127,0,1029948.0,20140120,3207814.0
2015-12-31,LULU UW Equity,20141101,1619982,1081097,0,520808.0,20140120,2739098.0
2014-12-31,LULU UW Equity,20140120,4230550,366253,1850000,0.0,20140120,4596803.0
2023-12-31,MCD UN Equity,20220906,6500181,6500043,0,4027620.0,20191101,13709881.0
2022-12-31,MCD UN Equity,20220901,5750227,5750012,0,4240878.0,20191101,12160803.0
2021-12-31,MCD UN Equity,20210426,7000179,7000002,0,4368745.0,20191101,14356887.0
2020-12-31,MCD UN Equity,20201015,4750129,4750011,0,0.0,20191101,9883526.0
2019-12-31,MCD UN Equity,20191210,7375135,7375027,0,4771350.0,20191101,15858993.0
2018-12-31,MCD UN Equity,20181231,5750104,5750009,0,2456730.0,20150301,12077719.0
2017-12-31,MCD UN Equity,20170303,5301249,5318329,0,9097569.0,20150301,11363483.0
2016-12-31,MCD UN Equity,20161231,5108811,3897785,0,4558818.0,20150301,9530261.0
2015-12-31,MCD UN Equity,20151026,2968674,2104524,0,1469797.0,20150301,5414499.0
2014-12-31,MCD UN Equity,20140630,3271818,2362665,0,0.0,20120701,6038578.0
2023-12-31,MRK UN Equity,20221201,9997585,4050000,0,3585300.0,20210701,15084896.0
2022-12-31,MRK UN Equity,20221201,8868587,3524995,0,4125150.0,20210701,12986330.0
2021-12-31,MRK UN Equity,20210701,13714668,5985007,0,5638700.0,20210701,20481701.0
2020-12-31,MRK UN Equity,20201231,10778499,4724098,0,2218500.0,20110101,18167923.0
2019-12-31,MRK UN Equity,20180416,11425398,4500763,0,4609200.0,20110101,21379793.0
2018-12-31,MRK UN Equity,20181231,9456006,3901093,0,3061800.0,20110101,16262127.0
2017-12-31,MRK UN Equity,20161231,8814767,3750000,0,2686575.0,20110101,13384300.0
2016-12-31,MRK UN Equity,20161231,7875521,4800002,0,2518425.0,20110101,17735341.0
2015-12-31,MRK UN Equity,20150701,9912966,4800000,0,3402000.0,20110101,19306083.0
2014-12-31,MRK UN Equity,20140423,13025313,3323244,0,3341250.0,20110101,20188120.0
2023-12-31,MMM UN Equity,20230901,6000053,5999289,0,2665470.0,20180701,12294552.0
2022-12-31,MMM UN Equity,20220630,5500066,5500883,0,1327676.0,20180701,11297461.0
2021-12-31,MMM UN Equity,20210401,5250138,5250960,0,3131774.0,20180701,13731323.0
2020-12-31,MMM UN Equity,20200731,5000082,5001553,0,1582901.0,20180701,17817498.0
2019-12-31,MMM UN Equity,20190601,5000094,4999946,0,1256671.0,20180701,15815327.0
2018-12-31,MMM UN Equity,20180701,7360318,9610781,0,3309301.0,20180701,20766348.0
2017-12-31,MMM UN Equity,20170701,6000146,6002785,0,4121830.0,20120224,14886768.0
2016-12-31,MMM UN Equity,20140609,5500110,5502854,0,2303678.0,20120224,12882472.0
2015-12-31,MMM UN Equity,20151007,5500071,5497855,0,2330134.0,20120224,15662775.0
2014-12-31,MMM UN Equity,20140630,4750085,4053263,0,3500000.0,20120224,15223029.0
2023-12-31,AWK UN Equity,20220516,4654564,0,0,1678611.0,20211207,4984334.0
2022-12-31,AWK UN Equity,20220516,4357868,0,100000,1335400.0,20220202,5724683.0
2021-12-31,AWK UN Equity,20211209,5140098,0,0,1807391.0,20211207,6387900.0
2020-12-31,AWK UN Equity,20201105,6043807,0,0,963772.0,20200401,7590928.0
2019-12-31,AWK UN Equity,20190831,3325025,0,0,1334300.0,20140509,3595693.0
2018-12-31,AWK UN Equity,20170801,2837113,0,0,938600.0,20140509,3100285.0
2017-12-31,AWK UN Equity,20170801,2250048,0,0,970094.0,20140509,2465997.0
2016-12-31,AWK UN Equity,20160101,1440032,359999,0,1188000.0,20140509,2031609.0
2015-12-31,AWK UN Equity,20151231,1144820,280003,0,870400.0,20140509,1624177.0
2014-12-31,AWK UN Equity,20140509,2527744,631924,0,1075497.0,20140509,3542017.0
2023-12-31,BAC UN Equity,20211101,25728076,0,0,0.0,20100101,27071192.0
2022-12-31,BAC UN Equity,20220101,27629501,0,0,0.0,20100101,28677503.0
2021-12-31,BAC UN Equity,20211231,21395424,0,0,0.0,20100101,22229169.0
2020-12-31,BAC UN Equity,20190131,23525808,0,0,0.0,20100101,24440571.0
2019-12-31,BAC UN Equity,20190131,23575105,0,0,0.0,20100101,24539213.0
2018-12-31,BAC UN Equity,20181204,20552088,0,0,0.0,20100101,21254510.0
2017-12-31,BAC UN Equity,20160101,19524730,0,0,0.0,20100101,20279832.0
2016-12-31,BAC UN Equity,20160101,13752000,0,0,0.0,20100101,14440132.0
2015-12-31,BAC UN Equity,20151231,11791073,0,0,0.0,20100101,12323354.0
2014-12-31,BAC UN Equity,20141001,12545091,0,0,0.0,20100101,13842399.0
2023-12-31,PFE UN Equity,20231215,8745187,8761683,0,0.0,20190101,19774564.0
2022-12-31,PFE UN Equity,20220918,9296191,9526444,0,7650000.0,20190101,23629953.0
2021-12-31,PFE UN Equity,20211231,6180808,7050649,0,8000000.0,20190101,14665719.0
2020-12-31,PFE UN Equity,20200101,4897817,6782951,0,5491800.0,20190101,13891770.0
2019-12-31,PFE UN Equity,20191231,4290956,6075290,0,3630000.0,20190101,12698963.0
2018-12-31,PFE UN Equity,20181231,7030630,6854237,0,3000000.0,20181231,14556713.0
2017-12-31,PFE UN Equity,20171231,6631652,14504377,0,2600000.0,20101205,23357025.0
2016-12-31,PFE UN Equity,20160208,3984592,6628412,0,4000000.0,20101205,11416220.0
2015-12-31,PFE UN Equity,20140101,2011628,5842990,0,4300000.0,20101205,11829212.0
2014-12-31,PFE UN Equity,20140101,6447998,6361672,0,3000000.0,20101205,18468048.0
2023-12-31,PG UN Equity,20211101,11372562,3625001,4712000,0.0,20211101,15403625.0
2022-12-31,PG UN Equity,20220630,18174849,7422506,7252608,0.0,20211101,26192122.0
2021-12-31,PG UN Equity,20210301,10652543,4631265,6570000,0.0,20151101,15547048.0
2020-12-31,PG UN Equity,20190702,11242037,3437505,6014600,0.0,20151101,15190528.0
2019-12-31,PG UN Equity,20190629,9768118,3251263,5409400,0.0,20151101,13439412.0
2018-12-31,PG UN Equity,20170701,9642358,3125011,2736000,0.0,20151101,13018256.0
2017-12-31,PG UN Equity,20151101,9226929,3000001,4080384,0.0,20151101,12415793.0
2016-12-31,PG UN Equity,20160630,14803960,1743864,4533911,0.0,20160630,17023113.0
2015-12-31,PG UN Equity,20130701,12407790,0,3290000,0.0,20130523,12996621.0
2014-12-31,PG UN Equity,20130701,12230582,0,4400000,0.0,20130523,13104353.0
2023-12-31,T UN Equity,20221231,16500000,0,0,6440000.0,20200701,17610157.0
2022-12-31,T UN Equity,20221231,13499988,0,0,5320000.0,20200701,15195526.0
2021-12-31,T UN Equity,20210401,13420341,0,0,6888000.0,20200701,15532879.0
2020-12-31,T UN Equity,20200701,34499988,0,0,5500000.0,20200701,41725545.0
2019-12-31,T UN Equity,20191001,19800007,0,0,5280000.0,20070601,24952925.0
2018-12-31,T UN Equity,20180619,17069774,0,0,5192000.0,20070601,22126118.0
2017-12-31,T UN Equity,20170831,16699980,0,0,5310000.0,20070601,21610720.0
2016-12-31,T UN Equity,20161231,16063344,0,0,5700000.0,20070601,20942049.0
2015-12-31,T UN Equity,20150728,14623014,0,0,5500000.0,20070601,17904247.0
2014-12-31,T UN Equity,20120229,14248893,0,0,4350000.0,20070601,17942648.0
2023-12-31,TRV UN Equity,20180901,8550056,5699058,0,6000000.0,20151201,15280072.0
2022-12-31,TRV UN Equity,20180901,7740075,5159281,0,6800000.0,20151201,12972397.0
2021-12-31,TRV UN Equity,20180901,6900051,4598852,0,6500000.0,20151201,12053697.0
