Symbol,gics_sector_name,gics_sub_industry_name,gics_industry_name,gics_industry_group_name,gics_industry,gics_sector
LYB UN Equity,Materials,Commodity Chemicals,Chemicals,Materials,151010,15
AXP UN Equity,Financials,Consumer Finance,Consumer Finance,Financial Services,402020,40
VZ UN Equity,Communication Services,Integrated Telecommunication Services,Diversified Telecommunication Services,Telecommunication Services,501010,50
TPL UN Equity,Energy,Oil & Gas Exploration & Production,"Oil, Gas & Consumable Fuels",Energy,101020,10
AVGO UW Equity,Information Technology,Semiconductors,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,453010,45
BA UN Equity,Industrials,Aerospace & Defense,Aerospace & Defense,Capital Goods,201010,20
SOLV UN Equity,Health Care,Health Care Supplies,Health Care Equipment & Supplies,Health Care Equipment & Services,351010,35
CAT UN Equity,Industrials,Construction Machinery & Heavy Transportation Equipment,Machinery,Capital Goods,201060,20
JPM UN Equity,Financials,Diversified Banks,Banks,Banks,401010,40
CVX UN Equity,Energy,Integrated Oil & Gas,"Oil, Gas & Consumable Fuels",Energy,101020,10
KO UN Equity,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Beverages,"Food, Beverage & Tobacco",302010,30
ABBV UN Equity,Health Care,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",352010,35
DIS UN Equity,Communication Services,Movies & Entertainment,Entertainment,Media & Entertainment,502020,50
CPAY UN Equity,Financials,Transaction & Payment Processing Services,Financial Services,Financial Services,402010,40
EXR UN Equity,Real Estate,Self-Storage REITs,Specialized REITs,Equity Real Estate Investment Trusts (REITs),601080,60
XOM UN Equity,Energy,Integrated Oil & Gas,"Oil, Gas & Consumable Fuels",Energy,101020,10
PSX UN Equity,Energy,Oil & Gas Refining & Marketing,"Oil, Gas & Consumable Fuels",Energy,101020,10
GE UN Equity,Industrials,Aerospace & Defense,Aerospace & Defense,Capital Goods,201010,20
HPQ UN Equity,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment,452020,45
HD UN Equity,Consumer Discretionary,Home Improvement Retail,Specialty Retail,Consumer Discretionary Distribution & Retail,255040,25
MPWR UW Equity,Information Technology,Semiconductors,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,453010,45
IBM UN Equity,Information Technology,IT Consulting & Other Services,IT Services,Software & Services,451020,45
JNJ UN Equity,Health Care,Pharmaceuticals,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",352020,35
LULU UW Equity,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,252030,25
MCD UN Equity,Consumer Discretionary,Restaurants,"Hotels, Restaurants & Leisure",Consumer Services,253010,25
MRK UN Equity,Health Care,Pharmaceuticals,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",352020,35
MMM UN Equity,Industrials,Industrial Conglomerates,Industrial Conglomerates,Capital Goods,201050,20
AWK UN Equity,Utilities,Water Utilities,Water Utilities,Utilities,551040,55
BAC UN Equity,Financials,Diversified Banks,Banks,Banks,401010,40
PFE UN Equity,Health Care,Pharmaceuticals,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",352020,35
PG UN Equity,Consumer Staples,Household Products,Household Products,Household & Personal Products,303010,30
T UN Equity,Communication Services,Integrated Telecommunication Services,Diversified Telecommunication Services,Telecommunication Services,501010,50
TRV UN Equity,Financials,Property & Casualty Insurance,Insurance,Insurance,403010,40
RTX UN Equity,Industrials,Aerospace & Defense,Aerospace & Defense,Capital Goods,201010,20
ADI UW Equity,Information Technology,Semiconductors,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,453010,45
WMT UN Equity,Consumer Staples,Consumer Staples Merchandise Retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,301010,30
CSCO UW Equity,Information Technology,Communications Equipment,Communications Equipment,Technology Hardware & Equipment,452010,45
INTC UW Equity,Information Technology,Semiconductors,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,453010,45
GM UN Equity,Consumer Discretionary,Automobile Manufacturers,Automobiles,Automobiles & Components,251020,25
MSFT UW Equity,Information Technology,Systems Software,Software,Software & Services,451030,45
DG UN Equity,Consumer Staples,Consumer Staples Merchandise Retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,301010,30
CI UN Equity,Health Care,Health Care Services,Health Care Providers & Services,Health Care Equipment & Services,351020,35
KMI UN Equity,Energy,Oil & Gas Storage & Transportation,"Oil, Gas & Consumable Fuels",Energy,101020,10
C UN Equity,Financials,Diversified Banks,Banks,Banks,401010,40
AIG UN Equity,Financials,Multi-line Insurance,Insurance,Insurance,403010,40
MO UN Equity,Consumer Staples,Tobacco,Tobacco,"Food, Beverage & Tobacco",302030,30
HCA UN Equity,Health Care,Health Care Facilities,Health Care Providers & Services,Health Care Equipment & Services,351020,35
IP UN Equity,Materials,Paper & Plastic Packaging Products & Materials,Containers & Packaging,Materials,151030,15
HPE UN Equity,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment,452020,45
ABT UN Equity,Health Care,Health Care Equipment,Health Care Equipment & Supplies,Health Care Equipment & Services,351010,35
AFL UN Equity,Financials,Life & Health Insurance,Insurance,Insurance,403010,40
APD UN Equity,Materials,Industrial Gases,Chemicals,Materials,151010,15
