Dates,XLC US Equity,XLY US Equity,XLP US Equity,XLE US Equity,XLF US Equity,XLV US Equity,XLI US Equity,XLB US Equity,XLRE US Equity,XLK US Equity,XLU US Equity
1/2/2015,#N/A N/A,9659.521,9852.376,11979.13,21214.51,11894.61,9254.981,2898.275,#N/A N/A,13313.95,7558.331
1/9/2015,#N/A N/A,9673.153,9967.955,11593.28,20447.61,13003.95,8735.633,2856.762,#N/A N/A,13552.93,7662.483
1/16/2015,#N/A N/A,9649.504,10010.28,11741.45,19119.57,12913.95,8525.62,2867.363,#N/A N/A,13101.53,7938.382
1/23/2015,#N/A N/A,8901.928,10094.94,11539.17,18779.37,13305.86,8768.707,2881.683,#N/A N/A,13405.18,8266.527
1/30/2015,#N/A N/A,8640.476,9804.34,11916.05,17767.06,12951.07,8154.177,2779.087,#N/A N/A,12600.66,8309.783
2/6/2015,#N/A N/A,8315.379,10067.79,12785.09,18880.98,12732.41,8532.621,2861.614,#N/A N/A,12829.61,8079.277
2/13/2015,#N/A N/A,8657.509,10163.44,13542.67,18786.55,12903.92,8471.222,3010.475,#N/A N/A,13153.52,7824.528
2/20/2015,#N/A N/A,8668.282,10226.13,13359.49,18604.83,13260.55,8434.712,3033.958,#N/A N/A,13249.51,7848.354
2/27/2015,#N/A N/A,9063.449,10273.15,12684.61,18531.45,13174.05,8144.953,3072.614,#N/A N/A,13263.36,7255.978
3/6/2015,#N/A N/A,10734.84,9755.511,12371.1,18694.54,13065.53,8092.186,3051.518,#N/A N/A,13088.17,6192.794
3/13/2015,#N/A N/A,10811.99,9686.03,11673.92,18580.36,13221.3,7793.774,2911.852,#N/A N/A,12515.71,6520.87
3/20/2015,#N/A N/A,11170.27,9089.234,12822.74,18359.41,14292.04,8181.069,2898.367,#N/A N/A,13251.46,6831.292
3/27/2015,#N/A N/A,10918.36,8932.05,12363.35,17674.58,14232.94,7709.007,2951.794,#N/A N/A,12779.44,6578.665
4/3/2015,#N/A N/A,11149.36,8016.64,12903.39,18037.54,13848.36,7675.725,2976.103,#N/A N/A,12752.55,6534.327
4/10/2015,#N/A N/A,11355.06,8145.411,13709.87,17965.36,14416.89,8079.827,2988.163,#N/A N/A,13070.3,6465.607
4/17/2015,#N/A N/A,10776.92,8034.654,14332.12,17342.11,13995.83,7832.981,2879.151,#N/A N/A,12557.37,6426.428
4/24/2015,#N/A N/A,11097.44,7994.457,14664.09,17320.02,14172.41,7601.848,2855.974,#N/A N/A,13098.84,6511.713
5/1/2015,#N/A N/A,10849.56,7798.471,14914.45,17454.09,13319.7,7831.334,2932.73,#N/A N/A,13283.68,6262.443
5/8/2015,#N/A N/A,10739.55,7737.981,14628.83,17838.22,13699.53,7724.641,2904.629,#N/A N/A,13182.5,6288.541
5/15/2015,#N/A N/A,10768.78,7834.232,14054.65,17570.22,14155.07,7956.908,2983.665,#N/A N/A,13205.48,6298.936
5/22/2015,#N/A N/A,10533.32,7728.409,13744.19,17971.17,14472.26,7993.084,2955.963,#N/A N/A,13483.56,6387.951
5/29/2015,#N/A N/A,10239.69,7407.396,13359.54,18080.88,14442.06,7641.84,2896.107,#N/A N/A,13542.54,6377.918
6/5/2015,#N/A N/A,10307.47,7120.511,13248.48,18665.51,14266.96,7671.03,2781.756,#N/A N/A,13426.43,6069.401
6/12/2015,#N/A N/A,10247.97,7065.877,13017.94,19745.17,14375.48,7583.946,2694.435,#N/A N/A,13434.91,5903.446
6/19/2015,#N/A N/A,10390.15,7365.762,13187.39,18965.56,14912.22,7548.723,2720.077,#N/A N/A,13430.13,6145.671
6/26/2015,#N/A N/A,10621.9,7313.996,12984.88,19292.12,15377.72,7397.333,2626.264,#N/A N/A,13386.11,5368.928
7/3/2015,#N/A N/A,10426.09,7363.844,12645.8,20465.86,15294.68,7048.599,2504.28,#N/A N/A,13108.7,5778.078
7/10/2015,#N/A N/A,10738.11,7862.505,12642.04,21242.02,15527.63,6656.193,2472.005,#N/A N/A,12606.3,6124.256
7/17/2015,#N/A N/A,11196,8017.309,12269.45,20487.06,16303.4,7311.28,2529.507,#N/A N/A,13253.8,6044.03
7/24/2015,#N/A N/A,11263.96,8034.349,11755.81,20524.17,15831.9,6558.331,2216.764,#N/A N/A,12911.58,6009.759
7/31/2015,#N/A N/A,11596.04,8229.308,11713.01,20436.36,16356.94,7047.299,2514.568,#N/A N/A,12929.67,6313.621
8/7/2015,#N/A N/A,11315.61,8219.819,11202.32,20287.13,15871.05,7002.572,2411.311,#N/A N/A,12764.72,6575.224
8/14/2015,#N/A N/A,11166.54,8094.419,11740.93,20283.2,15680.17,7024.591,2424.257,#N/A N/A,12514.15,7166.976
8/21/2015,#N/A N/A,10302.8,7732.455,10996.55,18401.26,14706.75,6400.389,2264.193,#N/A N/A,11437.03,6911.751
8/28/2015,#N/A N/A,10306.61,7397.158,11915.48,18258.78,14375.44,6234.633,2220.286,#N/A N/A,11382.45,6721.648
9/4/2015,#N/A N/A,9855.504,7411.66,11100.99,17448.31,13750.77,5762.493,2105.612,#N/A N/A,11131.96,6163.415
9/11/2015,#N/A N/A,10059.49,7181.431,11154.64,17738.71,14543.78,6218.596,2147.949,#N/A N/A,11424.12,6017.437
9/18/2015,#N/A N/A,10353.34,6621.795,11170.21,16887.25,14743.25,6361.365,2180.859,#N/A N/A,11525.5,6073.688
9/25/2015,#N/A N/A,10200.51,7317.712,11143.9,17215.73,12885.44,6110.492,2071.265,#N/A N/A,11580.97,6487.439
10/2/2015,#N/A N/A,10331.29,7557.38,11574.34,16817.18,13460.98,6302.561,2066.925,#N/A N/A,11417.03,6685.61
10/9/2015,#N/A N/A,10807.2,7847.917,11962.74,17153.33,13114.13,7503.947,2210.767,3.016,11745.31,6615.53
10/16/2015,#N/A N/A,11035.21,8033.708,12795.37,17196.09,13569.37,6948.476,2117.378,3.0642,11940.72,6838.981
10/23/2015,#N/A N/A,11554.55,8365.605,12575.13,17885.21,13669.45,7347.725,2200.307,4.6605,12776.71,6986.094
10/30/2015,#N/A N/A,11554.66,8246.262,12400.1,18359.68,14122.82,6994.101,2213.015,4.6425,13005.78,6753.862
11/6/2015,#N/A N/A,11761.36,7860.046,12338.83,19139.66,13974.39,6960.417,2247.189,4.4925,13506.23,5970.939
11/13/2015,#N/A N/A,11259.42,7589.282,11785.61,18336.95,13355,6407.735,2067.885,2.956,13039.62,5784.334
11/20/2015,#N/A N/A,11855.76,7831.794,11806.11,19362.13,13822.31,6964.217,2088.643,4.614,13660.28,5871.708
11/27/2015,#N/A N/A,11841.91,7909.767,12251.05,19306.24,13889.22,7177.556,2234.194,4.5675,13658.47,5729.526
12/4/2015,#N/A N/A,11870.55,7786.523,11453.45,20453.29,13646.46,6919.626,2216.497,4.593,14213.64,5583.701
12/11/2015,#N/A N/A,11478.96,7675.437,11525.13,18832.58,13280.72,6117.28,2180.479,4.5207,13852.48,5673.996
12/18/2015,#N/A N/A,11491.47,7991.698,11768.23,18918.32,13750.13,5951.445,2120.855,4.5525,13621.16,5831.267
12/25/2015,#N/A N/A,11489.71,8236.972,11989.16,19461.19,13987.56,6186.712,2228.614,4.6515,13840.26,5830.37
1/1/2016,#N/A N/A,11349.18,8122.427,11600.98,19256.9,13848.85,5927.896,2104.741,4.6776,13650.18,5711.835
1/8/2016,#N/A N/A,10563.26,8184.967,11023.58,17084.29,12897.61,5736.495,1937.862,6.022,11898.95,5820.885
1/15/2016,#N/A N/A,10085.29,8248.288,11056.09,16742.84,12856.76,5379.19,1831.181,5.85,11483.58,6121.852
1/22/2016,#N/A N/A,10333.26,8552.899,11271.97,16345.06,13421.75,5500.017,1930.275,5.896,11758.9,6459.361
1/29/2016,#N/A N/A,10127.35,8993.251,11518.25,16705.83,13015.82,5677.664,1890.968,5.838,12017.58,6966.247
2/5/2016,#N/A N/A,9443.746,8641.675,10839.72,15823.43,11947.17,5660.825,1917.767,7.2745,11467.09,7221.796
2/12/2016,#N/A N/A,9320.664,9254.037,11264.63,14781.38,11677.68,5507.211,1836.202,6.8725,11139.17,7621.003
2/19/2016,#N/A N/A,9943.776,9434.48,11914.42,15467.4,11990.36,5869.776,1926.416,7.165,11720.49,7612.559
2/26/2016,#N/A N/A,10128.46,9396.575,11799.34,15503.8,12444.78,6187.841,2110.318,7.3425,11959.46,7600.69
3/4/2016,#N/A N/A,10572.25,9769.053,12781.73,16663.1,12401.08,6524.912,2174.043,7.6225,12306.3,7795.48
3/11/2016,#N/A N/A,10439.6,10050.57,12956.79,16549.15,12278.64,6637.517,2227.726,7.7225,12589.03,7888.125
3/18/2016,#N/A N/A,10425.25,10273.17,13651.87,16385.94,11296.96,6657.576,2310.697,7.8675,12778.67,8119.946
3/25/2016,#N/A N/A,10430.71,10106.76,12885.85,15962.69,11555.03,6511.105,2342.172,7.7975,12933.59,8027.305
4/1/2016,#N/A N/A,10747.12,10317.67,12650.04,16184.99,11873.89,6591.521,2448.57,11.2795,13785.75,8531.158
4/8/2016,#N/A N/A,10539.94,10357.37,12706.27,15486.71,12133.82,6561.151,2369.532,11.207,13720.28,8501.072
4/15/2016,#N/A N/A,10846.65,10324.43,12887.27,16270.34,12258.05,7038.535,2422.283,11.2385,13869.82,8542.257
4/22/2016,#N/A N/A,10790.91,9385.119,14059.9,16803.98,12811.91,7182.459,2578.799,11.011,13547.02,7908.453
4/29/2016,#N/A N/A,10446.72,9347.16,14163.12,16325.04,12762.29,6959.684,2626.955,10.983,12748.79,8140.564
5/6/2016,#N/A N/A,10393.85,9552.428,13786.59,16235.99,12121.37,6480.725,2576.836,11.3855,12529.49,7899.424
5/13/2016,#N/A N/A,10263.89,9517.821,13792.44,16015.89,11934.6,6662.481,2441.048,11.2074,12241.15,7982.609
5/20/2016,#N/A N/A,10105.12,9155.228,13895.19,16624.05,11991.21,6373.905,2664.525,12.5126,12174.03,7872.429
5/27/2016,#N/A N/A,10379.26,9676.316,14031.78,17165.7,12496.72,6822.118,2697.469,12.7621,12392.36,8290.064
6/3/2016,#N/A N/A,10296.4,9877.643,13638.97,16881.24,13034.97,6762.248,2703.466,12.8177,12589.07,8299.458
6/10/2016,#N/A N/A,10141.14,9925.927,13930.36,16342.74,12914.3,6952.925,2767.679,12.86,12647.56,8029.201
6/17/2016,#N/A N/A,9780.449,9740.737,13717.4,15685.57,12464.72,6569.229,2634.893,12.868,12439.56,8230.753
6/24/2016,#N/A N/A,9602.743,9731.743,14125.57,15401.79,12313.87,6255.114,2481.583,12.864,12088.11,8673.238
7/1/2016,#N/A N/A,9724.907,9928.064,14400.79,14709.25,12600.22,6654.357,2574.093,13.428,12337.05,8875.628
7/8/2016,#N/A N/A,10158.36,10468.16,14017.59,14496.79,13158.46,6889.119,2595.667,15.2676,12537.6,8709.766
7/15/2016,#N/A N/A,10288.75,9904.686,14325.35,15207.91,13383.66,7273.217,2781.631,56.3954,12362.27,8287.448
7/22/2016,#N/A N/A,10212.48,9755.346,14037.98,15526.86,13386.84,7177.015,2721.262,58.82,12395,8743.599
7/29/2016,#N/A N/A,10337.42,9510.799,13649.44,15221.02,13236.33,6899.563,2627.994,58.9526,12330.43,8619.293
8/5/2016,#N/A N/A,10367.79,9259.665,14047.86,15658.52,12819.97,7246.534,2637.189,113.699,12355.61,7917.634
8/12/2016,#N/A N/A,10032.95,9358.248,14212.24,15449.23,13282.05,7684.595,2773.207,115.192,12691.72,8450.622
8/19/2016,#N/A N/A,9926.944,9340.354,14868.76,15839.28,13121.94,7641.673,2788.707,113.016,12996.61,8127.352
