Dates,XLC US Equity,XLY US Equity,XLP US Equity,XLE US Equity,XLF US Equity,XLV US Equity,XLI US Equity,XLB US Equity,XLRE US Equity,XLK US Equity,XLU US Equity
1/2/2015,#N/A N/A,71.63,48.35,79.53,20.0812,68.63,56.51,48.65,#N/A N/A,41.27,47.44
1/9/2015,#N/A N/A,70.89,49.11,76.36,19.5859,70.21,55.42,48.4,#N/A N/A,41.25,47.38
1/16/2015,#N/A N/A,69.67,49.27,75.23,19.0743,70.37,54.73,47.85,#N/A N/A,40.38,48.62
1/23/2015,#N/A N/A,70.93,49.65,76.66,19.3016,70.94,55.985,48.25,#N/A N/A,41.45,49.14
1/30/2015,#N/A N/A,69.99,48.02,75.55,18.6845,69.27,54.57,47.69,#N/A N/A,39.9,48.32
2/6/2015,#N/A N/A,72.94,49.07,79.82,19.6021,69.78,56.2,49.92,#N/A N/A,41.1,46.56
2/13/2015,#N/A N/A,74.89,49.5,82.04,19.8376,70.72,57.17,51.44,#N/A N/A,42.65,45.17
2/20/2015,#N/A N/A,75.44,49.6,80.54,19.8457,72.18,58.16,51.93,#N/A N/A,43.08,45.69
2/27/2015,#N/A N/A,75.97,50.01,79.02,19.7726,72.24,57.49,51.49,#N/A N/A,43.09,45.23
3/6/2015,#N/A N/A,75.41,48.76,76.78,19.6752,71.41,56.46,50.46,#N/A N/A,42.39,43.39
3/13/2015,#N/A N/A,75.16,48.28,74.63,19.7483,71.81,56.08,49.84,#N/A N/A,41.49,43.48
3/20/2015,#N/A N/A,76.77,48.94,76.91,20.0649,74.9,57.12,49.23,#N/A N/A,42.54,44.98
3/27/2015,#N/A N/A,74.91,48.71,76.4,19.4316,73.04,55.55,48.61,#N/A N/A,41.37,43.88
4/3/2015,#N/A N/A,75.69,49.13,77.72,19.6589,71.99,55.43,48.97,#N/A N/A,41.37,44.55
4/10/2015,#N/A N/A,76.67,49.6,80.14,19.6833,74.06,56.97,49.7,#N/A N/A,42.08,44.66
4/17/2015,#N/A N/A,75.23,49.06,81.91,19.594,73.29,55.8,49.62,#N/A N/A,41.47,44.1
4/24/2015,#N/A N/A,77.63,49.19,81.98,19.7158,74.39,56.32,50.26,#N/A N/A,43.13,45.15
5/1/2015,#N/A N/A,76.35,48.81,82.87,19.7645,72.68,56.33,51.25,#N/A N/A,43.1,44.47
5/8/2015,#N/A N/A,76.6,49.17,81.76,20.1055,73.45,56.58,51.57,#N/A N/A,43.03,44.03
5/15/2015,#N/A N/A,76.59,49.75,80.67,20.0568,74.26,57.11,51.51,#N/A N/A,43.31,44.32
5/22/2015,#N/A N/A,76.94,49.25,80.2,20.1867,74.98,56.9,51.12,#N/A N/A,43.6,44.57
