,Dates,PX_LAST,Dividend_Per_Share,TOTAL_EQUITY,CUR_MKT_CAP,Year,TOT_COMPENSATION_AW_TO_EXECS,TOT_SALARIES_BNS_PD_TO_EXECS,TOT_N_EQTY_INCENT_GIVEN_TO_EXECS,TOT_SALARIES_PAID_TO_EXECUTIVES,TOTAL_BONUSES_PAID_TO_EXECUTIVES,ALL_OTHER_COMP_AW_TO_EXECS,TOT_STK_AWARDS_GIVEN_TO_EXECS,TOT_OPTION_AWARDS_GIVEN_TO_EXECS,T_PEN_NQ_DEF_PEN_GVN_TO_EXECS,TOT_OTHER_COMP_AW_TO_EXECS,NUM_EXECUTIVE_CHANGES,DATE_OF_LAST_EXECUTIVE_CHANGE,NUM_EXECS_INC_IN_COMPENSATION_PD,CEO_DUALITY,TOT_COMP_AW_TO_CEO_EQUIV,TOT_SAL_BNS_AW_TO_CEO_EQUIV,TOT_N_EQT_INCENT_GVN_TO_CEO_EQ,TOT_SALARIES_PAID_TO_CEO_EQUIV,TOT_BONUSES_PAID_TO_CEO_EQUIV,ALL_OTHER_COMP_AW_TO_CEO_EQUIV,TOT_STK_AWD_GIVEN_TO_CEO_EQUIV,TOT_OPT_AWD_GIVEN_TO_CEO_EQUIV,T_PEN_NQ_DEF_PEN_GVN_CEO_EQ,TOT_OTHER_COMP_AW_TO_CEO_EQUIV,NUM_CEO_EQUIVALENT_CHANGES,COMP_LKD_LAST_CEO_&_EQUIV_CHG_DT,NUM_CEOS_EQUIV_INC_COMP_PD,CEO_TENURE_AS_OF_FY_END,TOT_COMP_AW_TO_CFO_EQUIV,TOT_COMP_AW_TO_COO_EQUIV,TOTAL_BOD_COMPENSATION_AWARDED,TOTAL_BOD_FEES_PAID_IN_CASH,TOTAL_BOD_STOCK_AWARDS_GIVEN,NUMBER_OF_BOD_CHANGES_DURING_FY,DATE_OF_LAST_BOD_CHANGE,NUM_DIR_INC_IN_CMPNSTN_PD
Dates,1.0,0.3839764616484038,0.10994884154228957,0.08852122631257796,0.28810929607786195,0.9948270358011522,0.05128326046631886,0.10285272496262446,0.10810587342258976,0.05111304713444098,0.002787687326525879,0.043500797110119484,0.17672007258055475,-0.004197057593690118,-0.09853982238410323,0.08511098764253833,-0.02415666516193528,0.8931093728452387,-0.11797747378171879,-0.03908594777177648,0.02971137177314638,0.17818003959154857,0.16292461449993292,0.10725522876553696,-0.01765113083250616,0.024248211148462016,0.23301024093867279,-0.0064376227123365505,-0.06543028740186943,0.10394654703253263,-0.059171255735553444,0.3550970247940703,0.09424111126634827,0.04222484190962861,0.20256887592955342,0.22068871279629662,-0.07826055843537655,0.049536983690814045,-0.07729008296132445,0.035808344451713305,0.9552983225595842,0.0478562728275322
PX_LAST,0.3839764616484038,1.0,0.47223802021000044,-0.19014770991745472,0.1159121113599456,0.3810512038925491,-0.017018220691544236,0.010501419659181678,0.02582864087300324,0.1554018645868742,-0.15669230348205906,-0.017906535327496753,0.03159866618718986,-0.02458456843177756,-0.14448866520603088,0.10923252578699484,-0.06884835693119314,0.36131135201995107,-0.11410938767850982,-0.06419352641653613,-0.01930509779246757,0.07132781018064678,0.0706522355853094,0.18319973041912124,-0.1903050430233029,-0.021486661451599318,0.06698150380488689,-0.031111890916027098,-0.11336043086308749,0.12707598555128657,-0.011686341059999888,0.22479617905824692,0.1191859375351726,-0.025624497892795695,0.08862072702305929,0.17803853081273271,-0.027699370106524655,-0.3208772134074869,-0.02195050166330726,-0.13894996007453458,0.36977572498103256,-0.2718187865683995
Dividend_Per_Share,0.10994884154228957,0.47223802021000044,1.0,-0.0619918362795917,-0.12284703801473577,0.11315933256977301,-0.06494513591418104,-0.058472434978279544,-0.007243632786071369,-0.09823913268381812,0.004088689976589332,-0.060671468895460254,-0.05049868601763295,-0.04982626760804162,0.14543750987501214,-0.11071719798362324,-0.0361038059818039,0.11167975263785247,-0.09442263903934713,0.06622709875513147,-0.039241106264320556,-0.02925101874246757,-0.013074675942250273,-0.04049419692377882,0.005221432848649158,-0.03833828348851486,0.060400245960213116,-0.04534949232667532,0.12400865554558942,-0.11011272942807145,0.010566549386284067,0.17729694939488427,0.019080361357144273,-0.1797901181576496,-0.07579322294549273,-0.04494133874984131,-0.037303019719237135,-0.08874994170077008,-0.0322961130207656,-0.021830860034259634,0.125707159228524,0.03534873490566777
TOTAL_EQUITY,0.08852122631257796,-0.19014770991745472,-0.0619918362795917,1.0,0.289613623450284,0.08774282979717131,0.06123605669202215,0.37816804936339343,-0.01864287414674546,0.09190110483113036,0.554665179845752,0.032085405570502074,0.31305376044695427,-0.06742241071470137,0.19075105131698997,0.06661785445436909,0.0004247124438468893,0.07367876887030343,-0.07175789682509477,-0.02079152636676794,-0.02097463593258661,0.2116681362735715,-0.019811248496562357,0.06770167202971641,0.45678334297384066,-0.027454812028019557,0.18486578953691576,-0.05671148135609951,0.14217925332090087,0.09767863091884522,0.059024122945981666,0.12269061975050682,0.009034638361022989,-0.09887462594500936,0.2115720840316583,0.27716785390822424,-0.03454876493645516,0.3069992430477768,-0.032032992206258847,0.14871809671479697,0.11873356246580966,0.12148926541760809
CUR_MKT_CAP,0.28810929607786195,0.1159121113599456,-0.12284703801473577,0.289613623450284,1.0,0.28577203087874486,0.1413881012924687,0.23865199608195636,0.3938703851396557,-0.029187623388814175,-0.011125693510691634,0.12342454041801365,0.6004275239448836,-0.044074919152082746,-0.10698290760045205,0.12278180887941836,-0.1049592625305459,0.17809971068522282,-0.06778017078770089,-0.13573995770960168,0.02738388845136441,0.31857855112012123,0.39876219413857156,0.044083925119101586,-0.05300146799719063,0.017620447172468696,0.41955933292556563,-0.038199669358707194,-0.0968379455564378,0.1718026245609518,-0.05490215495757654,0.00740223254033249,-0.006423615137143635,0.09693245070568761,0.4370340073864658,0.28143900866121885,-0.01431782492135897,-0.13269021169568135,-0.009590324514935708,-0.08179751795082381,0.23976116081496981,-0.17571163650324648
Year,0.9948270358011522,0.3810512038925491,0.11315933256977301,0.08774282979717131,0.28577203087874486,1.0,0.051642330060189645,0.1031114120916199,0.10857722327717344,0.051319340884259074,0.0025040238309468783,0.04384126175642815,0.17741017090151512,-0.003995703024256203,-0.09991400787768465,0.08566534481528487,-0.023907048690894914,0.8980198618671946,-0.11835285442033566,-0.03914509960420637,0.029971506991804116,0.17848929022952595,0.1634141239133441,0.10750519854519287,-0.01815203976719868,0.024498828288778224,0.23369689991964696,-0.006242101899335217,-0.06715828805967622,0.10435743298948721,-0.058994725157995774,0.3570716706540415,0.09429039569918057,0.04248014276525596,0.20351347186630256,0.22127280755976222,-0.080347647449506,0.04996868867545576,-0.07939527664148435,0.03651214118683736,0.9603356088546904,0.04837384800838673
TOT_COMPENSATION_AW_TO_EXECS,0.05128326046631886,-0.017018220691544236,-0.06494513591418104,0.06123605669202215,0.1413881012924687,0.051642330060189645,1.0,0.09275629741850044,0.059027776306845824,0.042846762630210755,0.04756145095589826,0.9969977538962114,0.2145654037669906,0.9510458788589228,-0.005813529059442462,0.07092606914175639,0.041434533086562406,0.07679675270704223,-0.028314392169527743,-0.060221428057641566,0.9726821957958866,0.06500691831982823,0.05886756303929737,0.03286854833371239,0.002368288199199125,0.9705221985312289,0.14076492400217194,0.9519373388214535,-0.010739901828028881,0.07542278530984543,-0.0006810760400880841,-0.024990558363621282,0.053223262505051896,0.060402408046623175,0.16599246659386763,0.12621723194502357,0.03222751849452084,-0.1385022880051007,-0.0012377876617547905,0.01426669774005853,0.06677126033347526,-0.0568428928682963
TOT_SALARIES_BNS_PD_TO_EXECS,0.10285272496262446,0.010501419659181678,-0.058472434978279544,0.37816804936339343,0.23865199608195636,0.1031114120916199,0.09275629741850044,1.0,0.4723977039967977,0.673747015602971,0.4931811520823572,0.015381158510777896,0.19281562032143637,-0.04190659454762273,0.09788542051777417,-0.035673209329301604,0.09018192778232659,0.13277478330969017,0.2209316387833935,0.028469064837913546,-0.008015340512925689,0.7803489428071311,0.45361066721130094,0.5279790499186293,0.3432060813770202,-0.03191758320783692,0.14168329912365338,-0.04798129086567243,0.027109624697751966,-0.08583885043291496,0.06781976775767122,0.09471088718893675,0.21846722168325075,0.046542622919791624,0.3903072798355713,0.376829780056669,-0.04903678255399936,0.0664197234636629,-0.045186617646227355,0.006083086975769602,0.09542808740245542,0.1445231179621985
TOT_N_EQTY_INCENT_GIVEN_TO_EXECS,0.10810587342258976,0.02582864087300324,-0.007243632786071369,-0.01864287414674546,0.3938703851396557,0.10857722327717344,0.059027776306845824,0.4723977039967977,1.0,0.0010717034599253294,-0.31781052578250857,0.02253998752922665,0.2698230435019366,-0.04686342317950702,-0.05940795105837285,-0.10218359288009538,-0.03190015982651355,0.08893516811208116,-0.09373376568509595,-0.10405509553769797,-0.008168723730714818,0.6147199902982607,0.8946339912154232,0.09140600422571972,-0.3472245373283483,-0.02699739712405781,0.1679480694773014,-0.04484916382213951,-0.010617951115449817,-0.11218609154313713,0.019060527737547548,0.1363302420232505,0.11435338260019029,-0.13334912898834256,0.38347640342240186,0.03784869344802146,-0.044167516931262855,0.05232964310562973,-0.03930645421611916,-0.05440579526463143,0.06066051361141536,0.0046982352997606
TOT_SALARIES_PAID_TO_EXECUTIVES,0.05111304713444098,0.1554018645868742,-0.09823913268381812,0.09190110483113036,-0.029187623388814175,0.051319340884259074,0.042846762630210755,0.673747015602971,0.0010717034599253294,1.0,0.16658964210354762,-0.009367242289561536,-0.11433676137131223,0.018271145542367397,0.08343969453521942,0.02615716008317922,0.11840203561502306,0.10275439921037885,0.33876562929340187,-0.00385216167628747,0.006686822301377474,0.5117984945024854,0.06480636798753078,0.8095043100240601,0.09467925449645546,-0.008991738547282383,-0.08070206762258744,0.001892112193447062,0.019205419759105325,-0.03534723086200977,0.10712634630037422,0.11316992029752679,0.29493611888210786,0.15115556359500817,0.11376262176794395,0.24818885803799093,-0.0321967453817655,-0.042290901075672994,-0.032575690568739886,0.02970871860139439,0.07178674172216738,0.1461069963834833
